actual_commencement_date,actual_completion_date,appeal_decision,appeal_decision_date,appeal_start_date,appeal_status,application_details,application_type,application_type_full,bo_system,borough,centroid,centroid_easting,centroid_northing,cil_liability,date_building_work_completed_under_previous_permission,date_building_work_started_under_previous_permission,decision,decision_agency,decision_conditions,decision_date,decision_process,decision_target_date,description,development_type,epc_number,id,lapsed_date,last_date_consultation_comments,last_synced,last_updated,last_updated_by,locality,lpa_app_no,lpa_name,parking_details,polygon,postcode,pp_id,reference_no_of_permission_being_relied_on,secondary_street_name,site_name,site_number,status,street_name,subdivision_of_building,title_number,uprn,url_planning_app,valid_date,ward,wgs84_polygon
,,Allowed,20/11/2017,26/6/2017,,"{""3d_model"": null, ""affordable_housing_fast_track"": null, ""affordable_housing_inlieu_payment"": 0, ""air_quality_assessment"": null, ""borough_cil_liability_notice_issued"": null, ""building_age"": null, ""building_details"": [{""building_ref"": null, ""max_height"": null, ""no_storeys"": null}], ""building_type"": null, ""circular_economy_statement"": null, ""commencement_notice_received"": null, ""constraints_details"": [{""constraints_layer_description"": ""Type of Setting"", ""result"": ""Urban""}, {""constraints_layer_description"": ""PTAL 2008"", ""result"": ""2""}], ""existing_proposed_floorspace_details"": [], ""existing_uprns"": [], ""garden_land_lost"": null, ""green_suds"": null, ""grey_water_reuse"": null, ""id"": ""Barnet-15_05603_FUL"", ""infrastructure_details"": {""chp_heat_pumps_capacity"": null, ""community_energy_capacity"": null, ""fire_suppression_system_proposed"": null, ""ghg_reduction_over_building_regulations"": null, ""green_roof_area"": null, ""mobile_network_operators_consultation"": null, ""no_active_fast_ev_charging_points"": null, ""no_active_other_ev_charging_points"": null, ""no_active_rapid_ev_charging_points"": null, ""no_active_slow_ev_charging_points"": null, ""no_homes_passive_cooling"": null, ""no_homes_to_have_electrical_heating"": null, ""no_new_gas_connections_required"": null, ""no_new_water_connections_required"": null, ""no_non_resi_units_to_have_full_fibre"": null, ""no_passive_fast_ev_charging_points"": null, ""no_passive_other_ev_charging_points"": null, ""no_passive_rapid_ev_charging_points"": null, ""no_passive_slow_ev_charging_points"": null, ""no_resi_units_to_have_full_fibre"": null, ""percentage_demolition_construction_material_recycling"": null, ""solar_pv_capacity"": null, ""total_annual_nox_emissions"": null, ""total_annual_pm_emissions"": null, ""urban_greening_factor_score"": null, ""waste_details"": [], ""waste_provision"": null}, ""intended_commencement_date"": null, ""intended_completion_date"": null, ""internal_resi_water_usage"": null, ""lead_developer_company_name"": null, ""lead_registered_social_landlord"": null, ""mayoral_cil_liability_notice_issued"": null, ""no_affordable_housing_units_acquired_offsite"": 0, ""no_affordable_housing_units_provided_offsite"": null, ""non_permanent_dwellings_details"": [], ""non_residential_details"": {""development_type"": null, ""site_area"": null, ""total_gia_existing"": null, ""total_gia_gained"": 0, ""total_gia_lost"": 0, ""total_non_resi_gross_internal_floor_area_to_be_gained"": 0, ""total_non_resi_gross_internal_floor_area_to_be_lost"": 0}, ""occupation_status"": null, ""open_and_protected_space_details"": {""open_space_green_belt_area_gain"": 0, ""open_space_green_belt_area_loss"": 0, ""open_space_local_and_other_area_gain"": 0, ""open_space_local_and_other_area_loss"": 0, ""open_space_mol_area_gain"": 0, ""open_space_mol_area_loss"": 0, ""open_spaces_details"": [], ""protected_space_count"": 0, ""protected_spaces_details"": []}, ""other_contributions"": null, ""other_residential_accommodation_details"": {""no_council_tax_rateable_units_gained"": 0, ""no_council_tax_rateable_units_lost"": 0, ""other_resi_accommodation_unit_details"": [], ""site_area"": null}, ""overseas_company_registration_no"": null, ""ownership_status"": null, ""phasing_details"": [], ""projected_cost_of_works"": null, ""qualifying_vacant_building_floorspace"": null, ""rain_water_harvesting"": null, ""residential_details"": {""affordable_percentage"": 0.0, ""dwelling_density"": 176.47058823529412, ""habitable_rooms_density"": 0.0, ""residential_units"": [{""actual_commencement_date"": ""01/04/2021"", ""actual_completion_date"": null, ""change_type"": ""Loss"", ""description"": null, ""garden_land"": null, ""gia"": null, ""m42_compliant"": false, ""m43_2a_compliant"": false, ""m43_2b_compliant"": null, ""no_bedrooms"": 5, ""no_habitable_rooms"": null, ""phase_detail"": null, ""provider"": ""Private"", ""provision_for_older_persons"": false, ""sheltered_accommodation"": null, ""superseded_by_lpa_app_no"": null, ""superseded_date"": null, ""tenure"": ""Market for sale"", ""unit_development_type"": ""New Build"", ""unit_no"": null, ""unit_type"": ""House or Bungalow"", ""uprn"": null}, {""actual_commencement_date"": ""01/04/2021"", ""actual_completion_date"": null, ""change_type"": ""Gain"", ""description"": null, ""garden_land"": null, ""gia"": null, ""m42_compliant"": true, ""m43_2a_compliant"": false, ""m43_2b_compliant"": null, ""no_bedrooms"": 2, ""no_habitable_rooms"": null, ""phase_detail"": null, ""provider"": ""Private"", ""provision_for_older_persons"": false, ""sheltered_accommodation"": null, ""superseded_by_lpa_app_no"": null, ""superseded_date"": null, ""tenure"": ""Market for sale"", ""unit_development_type"": ""New Build"", ""unit_no"": null, ""unit_type"": ""Flat Apartment Maisonette"", ""uprn"": null}, {""actual_commencement_date"": ""01/04/2021"", ""actual_completion_date"": null, ""change_type"": ""Gain"", ""description"": null, ""garden_land"": null, ""gia"": null, ""m42_compliant"": true, ""m43_2a_compliant"": false, ""m43_2b_compliant"": null, ""no_bedrooms"": 2, ""no_habitable_rooms"": null, ""phase_detail"": null, ""provider"": ""Private"", ""provision_for_older_persons"": false, ""sheltered_accommodation"": null, ""superseded_by_lpa_app_no"": null, ""superseded_date"": null, ""tenure"": ""Market for sale"", ""unit_development_type"": ""New Build"", ""unit_no"": null, ""unit_type"": ""Flat Apartment Maisonette"", ""uprn"": null}, {""actual_commencement_date"": ""01/04/2021"", ""actual_completion_date"": null, ""change_type"": ""Gain"", ""description"": null, ""garden_land"": null, ""gia"": null, ""m42_compliant"": true, ""m43_2a_compliant"": false, ""m43_2b_compliant"": null, ""no_bedrooms"": 2, ""no_habitable_rooms"": null, ""phase_detail"": null, ""provider"": ""Private"", ""provision_for_older_persons"": false, ""sheltered_accommodation"": null, ""superseded_by_lpa_app_no"": null, ""superseded_date"": null, ""tenure"": ""Market for sale"", ""unit_development_type"": ""New Build"", ""unit_no"": null, ""unit_type"": ""Flat Apartment Maisonette"", ""uprn"": null}, {""actual_commencement_date"": ""01/04/2021"", ""actual_completion_date"": null, ""change_type"": ""Gain"", ""description"": null, ""garden_land"": null, ""gia"": null, ""m42_compliant"": true, ""m43_2a_compliant"": false, ""m43_2b_compliant"": null, ""no_bedrooms"": 2, ""no_habitable_rooms"": null, ""phase_detail"": null, ""provider"": ""Private"", ""provision_for_older_persons"": false, ""sheltered_accommodation"": null, ""superseded_by_lpa_app_no"": null, ""superseded_date"": null, ""tenure"": ""Market for sale"", ""unit_development_type"": ""New Build"", ""unit_no"": null, ""unit_type"": ""Flat Apartment Maisonette"", ""uprn"": null}, {""actual_commencement_date"": ""01/04/2021"", ""actual_completion_date"": null, ""change_type"": ""Gain"", ""description"": null, ""garden_land"": null, ""gia"": null, ""m42_compliant"": true, ""m43_2a_compliant"": false, ""m43_2b_compliant"": null, ""no_bedrooms"": 2, ""no_habitable_rooms"": null, ""phase_detail"": null, ""provider"": ""Private"", ""provision_for_older_persons"": false, ""sheltered_accommodation"": null, ""superseded_by_lpa_app_no"": null, ""superseded_date"": null, ""tenure"": ""Market for sale"", ""unit_development_type"": ""New Build"", ""unit_no"": null, ""unit_type"": ""Flat Apartment Maisonette"", ""uprn"": null}, {""actual_commencement_date"": ""01/04/2021"", ""actual_completion_date"": null, ""change_type"": ""Gain"", ""description"": null, ""garden_land"": null, ""gia"": null, ""m42_compliant"": true, ""m43_2a_compliant"": false, ""m43_2b_compliant"": null, ""no_bedrooms"": 3, ""no_habitable_rooms"": null, ""phase_detail"": null, ""provider"": ""Private"", ""provision_for_older_persons"": false, ""sheltered_accommodation"": null, ""superseded_by_lpa_app_no"": null, ""superseded_date"": null, ""tenure"": ""Market for sale"", ""unit_development_type"": ""New Build"", ""unit_no"": null, ""unit_type"": ""Flat Apartment Maisonette"", ""uprn"": null}], ""site_area"": 0.034, ""total_gia_gained"": null, ""total_gia_lost"": null, ""total_no_existing_residential_affordable_units"": 0, ""total_no_existing_residential_units"": 1, ""total_no_existing_residential_units_affordable_rent"": 0, ""total_no_existing_residential_units_discount_market_rent"": 0, ""total_no_existing_residential_units_discount_market_rent_charged_at_london_rents"": 0, ""total_no_existing_residential_units_discount_market_sale"": 0, ""total_no_existing_residential_units_intermediate"": 0, ""total_no_existing_residential_units_london_affordable_rent"": 0, ""total_no_existing_residential_units_london_living_rent"": 0, ""total_no_existing_residential_units_london_shared_ownership"": 0, ""total_no_existing_residential_units_market_for_rent"": 0, ""total_no_existing_residential_units_market_for_sale"": 1, ""total_no_existing_residential_units_self_build_and_custom_build"": 0, ""total_no_existing_residential_units_shared_equity"": 0, ""total_no_existing_residential_units_social_rent"": 0, ""total_no_existing_residential_units_starter_homes"": 0, ""total_no_proposed_bedrooms"": 13, ""total_no_proposed_residential_affordable_units"": 0, ""total_no_proposed_residential_units"": 6, ""total_no_proposed_residential_units_affordable_rent"": 0, ""total_no_proposed_residential_units_discount_market_rent"": 0, ""total_no_proposed_residential_units_discount_market_rent_charged_at_london_rents"": 0, ""total_no_proposed_residential_units_discount_market_sale"": 0, ""total_no_proposed_residential_units_intermediate"": 0, ""total_no_proposed_residential_units_london_affordable_rent"": 0, ""total_no_proposed_residential_units_london_living_rent"": 0, ""total_no_proposed_residential_units_london_shared_ownership"": 0, ""total_no_proposed_residential_units_market_for_rent"": 0, ""total_no_proposed_residential_units_market_for_sale"": 6, ""total_no_proposed_residential_units_self_build_and_custom_build"": 0, ""total_no_proposed_residential_units_shared_equity"": 0, ""total_no_proposed_residential_units_social_rent"": 0, ""total_no_proposed_residential_units_starter_homes"": 0}, ""s106_agreement"": null, ""scheme_name"": null, ""scheme_phasing"": null, ""site_area"": 0.034, ""social_infrastructure_contributions"": null, ""superseding_details"": [], ""surface_water_discharge_percentage_reduction"": null, ""total_gia_existing"": null, ""total_gia_gained"": null, ""total_gia_lost"": null, ""transport_contributions"": null, ""transport_impact_assessment"": null, ""uk_company_registration_no"": null, ""viability_assessment"": null}",All Other,Full planning permission,Idox Uniform,London Borough of Barnet,"{'lat': 49.766807, 'lon': -7.55716}",,,TRUE,,,RE,,"['', '', '']",18/10/2016,Committee,1/12/2015,"Demolition of existing residential dwelling house and erection of 4 storey building with car parking, refuse and cycle storage in the basement (APPEAL LODGED FOLLOWING REFUSAL OF PLANNING PERMISSION)",,,Barnet-15_05603_FUL,18/10/2019,29/10/2015,2025-01-27T02:46:03.662Z,2025-01-06T21:01:02.635Z,Idox Uniform,,15/05603/FUL,Barnet,,,,PP-04457172,,,21 Temple Fortune LaneLondonNW11 7TS,,Allowed,,,[],200113376,,6/10/2015,GS,"{'coordinates': [[[-0.197439, 51.580982], [-0.19744, 51.580955], [-0.197483, 51.580956], [-0.197482, 51.580983], [-0.197439, 51.580982]]], 'type': 'Polygon'}"
,,,,,,"{""id"": ""Barnet-15_05704_FUL""}",All Other,,Idox Uniform,London Borough of Barnet,"{'lat': 51.586344, 'lon': -0.220893}",523355,188998,TRUE,,,RE,,['Amenity'],30/11/2015,Delegated,30/11/2015,"Extension to existing office building, to create additional 1 storey for office use",,,Barnet-15_05704_FUL,,,2021-08-25T09:31:27.551Z,2021-07-28T20:01:01.704Z,Idox Uniform,Hendon,15/05704/FUL,Barnet,,"{'geometries': [{'coordinates': [[[523349.149, 189001.252], [523353.118, 188991.495], [523353.118, 188991.165], [523364.858, 188996.622], [523360.559, 189006.213], [523349.149, 189001.252]]], 'type': 'Polygon'}], 'type': 'GeometryCollection'}",NW4 2DF,PP-04483552,,,Exegen House,1,Refused,New Brent Street,,[],200085134,,5/10/2015,HD,"{'coordinates': [[[-0.22087099999999998, 51.586358], [-0.22087199999999999, 51.586331], [-0.220915, 51.586331], [-0.220914, 51.586358], [-0.22087099999999998, 51.586358]]], 'type': 'Polygon'}"
